timeStamp,elapsed,responseCode,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686602709398,528,429,528,1,1,0,349
1686602709405,562,429,562,1,1,0,352
1686602709481,508,429,508,1,1,0,333
1686602709469,522,429,522,1,1,0,345
1686602709447,546,429,546,1,1,0,352
1686602709477,524,429,524,1,1,0,344
1686602709362,646,200,639,1,0,0,363
1686602709392,616,200,609,1,0,0,351
1686602709382,627,200,619,1,0,0,355
1686602709414,607,200,604,1,0,0,333
1686602709388,650,200,644,1,0,0,359
1686602709511,550,429,550,1,1,0,367
1686602709451,650,200,637,1,0,0,353
1686602709428,673,200,667,1,0,0,358
1686602709367,734,200,722,1,0,0,386
1686602709369,732,200,721,1,0,0,384
1686602709506,602,429,602,1,1,0,420
1686602709460,658,200,645,1,0,0,354
1686602709491,640,200,627,1,0,0,330
1686602709460,671,200,658,1,0,0,354
1686602709591,548,429,548,1,1,0,366
1686602709493,668,200,653,1,0,0,327
1686602709649,519,429,519,1,1,0,340
1686602709572,635,200,627,1,0,0,367
1686602709514,699,200,686,1,0,0,412
1686602709589,625,200,616,1,0,0,358
1686602709547,672,200,658,1,0,0,391
1686602709575,645,200,631,1,0,0,372
1686602709551,669,200,656,1,0,0,389
1686602709564,660,200,649,1,0,0,383
1686602709520,707,200,699,1,0,0,364
1686602709535,698,200,689,1,0,0,391
1686602709538,701,200,688,1,0,0,401
1686602709522,725,200,711,1,0,0,362
1686602709728,519,429,519,1,1,0,354
1686602709583,670,200,664,1,0,0,364
1686602709543,711,200,704,1,0,0,397
1686602709534,732,200,719,1,0,0,404
1686602709568,698,200,692,1,0,0,389
1686602709685,588,200,575,1,0,0,316
1686602709650,636,200,623,1,0,0,337
1686602709420,866,200,853,1,0,0,366
1686602709650,643,200,631,1,0,0,338
1686602709373,927,200,914,1,0,0,384
1686602709646,671,200,651,1,0,0,341
1686602709425,899,200,895,1,0,0,361
1686602709684,649,200,636,1,0,0,325
1686602709651,689,200,682,1,0,0,337
1686602709700,648,200,639,1,0,0,329
1686602709865,492,429,492,1,1,0,325
1686602709649,716,200,703,1,0,0,342
1686602709873,493,429,493,1,1,0,327
1686602709732,640,200,637,1,0,0,350
1686602709456,929,200,910,1,0,0,348
1686602709474,911,200,899,1,0,0,340
1686602709875,515,429,515,1,1,0,332
1686602709902,504,429,504,1,1,0,325
1686602709901,506,429,506,1,1,0,319
1686602709447,961,200,961,1,0,0,347
1686602709447,961,200,961,1,0,0,352
1686602709705,713,200,701,1,0,0,313
1686602709417,1002,200,989,1,0,0,367
1686602709781,638,200,625,1,0,0,358
1686602709771,649,200,635,1,0,0,360
1686602709899,524,429,524,1,1,0,321
1686602709650,773,200,764,1,0,0,342
1686602709762,661,200,651,1,0,0,363
1686602709684,739,200,729,1,0,0,325
1686602709432,996,200,996,1,0,0,354
1686602709866,563,429,563,1,1,0,340
1686602709922,519,429,519,1,1,0,319
1686602709941,510,429,510,1,1,0,346
1686602709866,592,200,579,1,0,0,325
1686602709865,600,200,586,1,0,0,326
1686602709382,1087,200,1071,1,0,0,375
1686602709650,822,200,814,1,0,0,379
1686602709856,621,200,613,1,0,0,321
1686602709862,622,200,610,1,0,0,314
1686602709953,538,429,538,1,1,0,350
1686602710005,499,429,499,1,1,0,333
1686602709914,592,200,583,1,0,0,327
1686602709874,641,200,623,1,0,0,326
1686602709925,590,200,571,1,0,0,316
1686602709670,845,200,835,1,0,0,319
1686602709890,625,200,615,1,0,0,316
1686602709884,645,200,641,1,0,0,323
1686602709500,1066,200,1051,1,0,0,384
1686602709707,859,200,837,1,0,0,375
1686602709948,613,200,596,1,0,0,339
1686602709863,710,200,704,1,0,0,314
1686602710066,526,429,526,1,1,0,362
1686602709719,874,200,861,1,0,0,363
1686602710066,527,429,527,1,1,0,358
1686602709727,868,200,853,1,0,0,356
1686602710073,522,429,522,1,1,0,348
1686602709942,658,200,645,1,0,0,345
1686602709485,1121,200,1113,1,0,0,854
1686602710004,602,200,596,1,0,0,317
1686602710006,608,200,595,1,0,0,332
1686602710108,506,429,506,1,1,0,335
1686602710108,507,429,507,1,1,0,334
1686602710012,609,200,604,1,0,0,326
1686602709876,747,200,730,1,0,0,324
1686602710050,584,200,573,1,0,0,315
1686602710148,495,429,495,1,1,0,324
1686602709578,1065,200,1056,1,0,0,361
1686602710167,476,429,476,1,1,0,311
1686602709651,993,200,983,1,0,0,338
1686602710129,520,429,520,1,1,0,343
1686602709436,1219,200,1207,1,0,0,521
1686602709667,1004,200,995,1,0,0,334
1686602710016,655,200,639,1,0,0,322
1686602709497,1187,200,1174,1,0,0,429
1686602710075,609,200,596,1,0,0,336
1686602710203,481,429,481,1,1,0,313
1686602709692,999,200,992,1,0,0,309
1686602710197,494,429,494,1,1,0,324
1686602709533,1158,200,1145,1,0,0,393
1686602710003,701,200,688,1,0,0,349
1686602709761,944,200,930,1,0,0,358
1686602709873,837,200,824,1,0,0,327
1686602709401,1309,200,1297,1,0,0,385
1686602709864,852,200,840,1,0,0,313
1686602710075,642,200,630,1,0,0,332
1686602710085,637,200,625,1,0,0,322
1686602709778,944,200,932,1,0,0,361
1686602710076,651,200,634,1,0,0,344
1686602710239,499,429,499,1,1,0,328
1686602710162,581,200,575,1,0,0,316
1686602709737,1012,200,1000,1,0,0,381
1686602709697,1052,200,1042,1,0,0,321
1686602710132,617,200,606,1,0,0,346
1686602710076,680,200,666,1,0,0,330
1686602710282,494,429,494,1,1,0,332
1686602710298,478,429,478,1,1,0,316
1686602709760,1024,200,1008,1,0,0,379
1686602710147,643,200,636,1,0,0,331
1686602710142,648,200,641,1,0,0,330
1686602709648,1149,200,1136,1,0,0,795
1686602709657,1148,200,1133,1,0,0,331
1686602709464,1349,200,1333,1,0,0,349
1686602709760,1069,200,1053,1,0,0,358
1686602709656,1173,200,1158,1,0,0,333
1686602709956,878,200,864,1,0,0,347
1686602710198,641,200,630,1,0,0,369
1686602710265,574,200,564,1,0,0,315
1686602709893,946,200,940,1,0,0,314
1686602710073,766,200,755,1,0,0,333
1686602709669,1170,200,1159,1,0,0,320
