timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603370044,669,200,Grupo de Usuários 1-1,text,663,1,0,0,383
1686603370171,602,200,Grupo de Usuários 1-2,text,595,1,0,0,320
1686603370290,615,200,Grupo de Usuários 1-3,text,609,1,0,0,328
1686603370417,594,200,Grupo de Usuários 1-4,text,588,1,0,0,317
1686603370526,602,200,Grupo de Usuários 1-5,text,589,1,0,0,324
1686603370646,605,200,Grupo de Usuários 1-6,text,593,1,0,0,319
1686603370766,672,200,Grupo de Usuários 1-7,text,662,1,0,0,334
1686603370886,579,200,Grupo de Usuários 1-8,text,566,1,0,0,313
1686603371005,608,200,Grupo de Usuários 1-9,text,590,1,0,0,337
1686603371127,653,200,Grupo de Usuários 1-10,text,653,1,0,0,338
1686603371367,649,200,Grupo de Usuários 1-12,text,642,1,0,0,351
1686603371248,776,200,Grupo de Usuários 1-11,text,767,1,0,0,327
1686603371487,619,200,Grupo de Usuários 1-13,text,613,1,0,0,366
1686603371607,609,200,Grupo de Usuários 1-14,text,609,1,0,0,336
1686603371727,622,200,Grupo de Usuários 1-15,text,616,1,0,0,342
1686603371845,678,200,Grupo de Usuários 1-16,text,671,1,0,0,371
1686603371966,696,200,Grupo de Usuários 1-17,text,678,1,0,0,344
1686603372084,642,200,Grupo de Usuários 1-18,text,636,1,0,0,313
1686603372204,654,200,Grupo de Usuários 1-19,text,648,1,0,0,333
1686603372325,594,200,Grupo de Usuários 1-20,text,588,1,0,0,319
1686603372444,583,200,Grupo de Usuários 1-21,text,576,1,0,0,330
1686603372786,276,200,Grupo de Usuários 1-2,text,256,1,0,0,0
1686603372811,291,200,Grupo de Usuários 1-1,text,272,1,0,0,0
1686603372565,620,200,Grupo de Usuários 1-22,text,613,1,0,0,321
1686603372969,278,200,Grupo de Usuários 1-3,text,259,1,0,0,0
1686603372684,625,200,Grupo de Usuários 1-23,text,619,1,0,0,324
1686603373086,274,200,Grupo de Usuários 1-4,text,253,1,0,0,0
1686603372804,588,200,Grupo de Usuários 1-24,text,581,1,0,0,307
1686603372925,588,200,Grupo de Usuários 1-25,text,580,1,0,0,322
1686603373170,390,200,Grupo de Usuários 1-5,text,370,1,0,0,0
1686603373313,316,200,Grupo de Usuários 1-6,text,293,1,0,0,0
1686603373044,606,200,Grupo de Usuários 1-26,text,599,1,0,0,335
1686603373500,287,200,Grupo de Usuários 1-7,text,270,1,0,0,0
