timeStamp,elapsed,label,responseCode,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686604082427,662,Blazedemo,200,text,647,1,0,0,379
1686604082475,660,Blazedemo,200,text,644,1,0,0,376
1686604082420,773,Blazedemo,200,text,773,1,0,0,390
1686604082393,804,Blazedemo,200,text,804,1,0,0,454
1686604082396,801,Blazedemo,200,text,801,1,0,0,445
1686604082427,781,Blazedemo,200,text,781,1,0,0,411
1686604082415,802,Blazedemo,200,text,802,1,0,0,418
1686604082523,740,Blazedemo,200,text,704,1,0,0,401
1686604082409,854,Blazedemo,200,text,854,1,0,0,401
1686604082581,685,Blazedemo,200,text,685,1,0,0,369
1686604082423,861,Blazedemo,200,text,861,1,0,0,387
1686604082522,762,Blazedemo,200,text,762,1,0,0,428
1686604082414,891,Blazedemo,200,text,877,1,0,0,396
1686604082397,908,Blazedemo,200,text,894,1,0,0,450
1686604082583,723,Blazedemo,200,text,722,1,0,0,367
1686604082392,918,Blazedemo,200,text,918,1,0,0,416
1686604082490,873,Blazedemo,200,text,873,1,0,0,433
1686604082485,878,Blazedemo,200,text,878,1,0,0,439
1686604082396,969,Blazedemo,200,text,969,1,0,0,414
1686604082581,786,Blazedemo,200,text,786,1,0,0,357
1686604082582,803,Blazedemo,200,text,780,1,0,0,368
1686604082612,773,Blazedemo,200,text,772,1,0,0,433
1686604082584,801,Blazedemo,200,text,788,1,0,0,354
1686604082490,895,Blazedemo,200,text,895,1,0,0,434
1686604082584,801,Blazedemo,200,text,785,1,0,0,355
1686604082491,913,Blazedemo,200,text,894,1,0,0,433
1686604082582,823,Blazedemo,200,text,803,1,0,0,368
1686604082582,828,Blazedemo,200,text,808,1,0,0,368
1686604082582,828,Blazedemo,200,text,808,1,0,0,357
1686604082584,826,Blazedemo,200,text,826,1,0,0,366
1686604082583,836,Blazedemo,200,text,836,1,0,0,355
1686604082611,819,Blazedemo,200,text,811,1,0,0,435
1686604082581,850,Blazedemo,200,text,840,1,0,0,369
1686604082487,944,Blazedemo,200,text,934,1,0,0,436
1686604082418,1062,Blazedemo,200,text,1062,1,0,0,505
1686604082615,873,Blazedemo,200,text,873,1,0,0,430
1686604082582,906,Blazedemo,200,text,906,1,0,0,368
1686604082619,879,Blazedemo,200,text,879,1,0,0,434
1686604082486,1012,Blazedemo,200,text,1012,1,0,0,464
1686604082395,1103,Blazedemo,200,text,1103,1,0,0,679
1686604082395,1104,Blazedemo,200,text,1104,1,0,0,529
1686604082634,877,Blazedemo,200,text,865,1,0,0,419
1686604082608,904,Blazedemo,200,text,891,1,0,0,438
1686604082492,1020,Blazedemo,200,text,1020,1,0,0,550
1686604082583,929,Blazedemo,200,text,928,1,0,0,367
1686604082485,1028,Blazedemo,200,text,1026,1,0,0,581
1686604082523,1004,Blazedemo,200,text,989,1,0,0,519
1686604082406,1121,Blazedemo,200,text,1106,1,0,0,657
1686604082630,898,Blazedemo,200,text,882,1,0,0,423
1686604082613,936,Blazedemo,200,text,914,1,0,0,433
1686604082614,936,Blazedemo,200,text,936,1,0,0,431
1686604082628,922,Blazedemo,200,text,900,1,0,0,425
1686604082394,1156,Blazedemo,200,text,1156,1,0,0,556
1686604082617,933,Blazedemo,200,text,933,1,0,0,429
1686604082611,948,Blazedemo,200,text,940,1,0,0,435
1686604082523,1036,Blazedemo,200,text,1028,1,0,0,519
1686604082613,946,Blazedemo,200,text,940,1,0,0,429
1686604082609,966,Blazedemo,200,text,966,1,0,0,437
1686604082585,991,Blazedemo,200,text,974,1,0,0,365
1686604082615,961,Blazedemo,200,text,961,1,0,0,427
1686604082493,1096,Blazedemo,200,text,1082,1,0,0,431
1686604082636,953,Blazedemo,200,text,939,1,0,0,416
